date,forecast_units_sold,lower_ci,upper_ci
2024-01-02,138.52069204908017,116.91286457709953,160.1285195210608
2024-01-03,138.52075782112752,116.50626128735992,160.53525435489513
2024-01-04,137.17792906589858,114.8369406890771,159.51891744272007
2024-01-05,134.37273914503362,111.5309287784899,157.21454951157733
2024-01-06,133.30269663957625,109.81784678006028,156.78754649909223
2024-01-07,135.75683580085274,111.12310176113562,160.39056984056987
2024-01-08,136.3948528158733,110.61581821939166,162.17388741235493
2024-01-09,135.97796173929024,109.61549754077478,162.3404259378057
2024-01-10,135.43285788332332,108.4631262945394,162.40258947210725
2024-01-11,135.11525273171858,107.47450565788208,162.7559998055551
2024-01-12,135.35917704065426,106.99752966561385,163.72082441569466
2024-01-13,135.70503860712435,106.6094694858835,164.8006077283652
2024-01-14,135.67946510333468,105.92199478317553,165.43693542349382
2024-01-15,135.53807251772292,105.17289187546233,165.9032531599835
2024-01-16,135.45375516064777,104.47389574183129,166.43361457946426
2024-01-17,135.47068073164243,103.8707904494101,167.07057101387477
2024-01-18,135.5432264199679,103.32876509097805,167.75768774895778
2024-01-19,135.57014503162327,102.75792897798576,168.38236108526078
2024-01-20,135.54213714250616,102.15211055141432,168.932163733598
2024-01-21,135.51630818133464,101.55898448475071,169.47363187791856
2024-01-22,135.51395559781292,100.99407810549187,170.03383309013398
2024-01-23,135.52709984856784,100.45153543072797,170.60266426640771
2024-01-24,135.53715007526503,99.91512691759709,171.15917323293297
2024-01-25,135.53474801546656,99.37621356607576,171.69328246485736
2024-01-26,135.5279373239785,98.84151254903907,172.21436209891795
2024-01-27,135.52561415301713,98.31814975756146,172.7330785484728
2024-01-28,135.527756682451,97.80573774037487,173.24977562452716
2024-01-29,135.5304106467551,97.3007213263457,173.76009996716448
2024-01-30,135.53078792274474,96.80039595954909,174.26117988594038
2024-01-31,135.52945041950676,96.30497866218266,174.75392217683086
